,rx,ry,rconfidence
0,155.074,140.769,0.603879
0,0.0,0.0,0.0
0,154.419,138.18,0.803463
0,147.922,132.359,0.534006
0,0.0,0.0,0.0
0,151.182,143.382,0.748166
0,163.501,132.993,0.749854
0,175.205,123.257,0.505014
0,148.566,152.453,0.773433
0,155.717,137.557,0.754981
0,170.668,136.889,0.486973
0,153.772,139.484,0.719036
0,158.31,138.184,0.759823
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,158.306,138.828,0.672911
0,0.0,0.0,0.0
0,149.245,144.043,0.786914
0,173.248,121.927,0.595156
0,148.602,132.998,0.727061
0,152.451,142.751,0.767725
0,155.077,138.159,0.777578
0,143.384,162.843,0.779088
0,162.871,132.981,0.717745
0,158.31,131.048,0.747333
0,0.0,0.0,0.0
0,157.647,133.013,0.68937
0,0.0,0.0,0.0
0,135.587,185.588,0.287123
0,0.0,0.0,0.0
0,157.015,137.539,0.765695
0,149.884,143.407,0.778071
0,148.568,149.868,0.814539
0,179.084,121.284,0.50726
0,153.796,137.55,0.80567
0,148.579,147.952,0.818563
0,151.172,143.4,0.741782
0,156.363,137.556,0.735157
0,155.726,140.138,0.672553
0,175.222,127.819,0.627513
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,173.247,127.801,0.437687
0,153.099,144.025,0.759707
0,154.435,140.125,0.729511
0,151.18,142.745,0.794976
0,150.523,143.361,0.802829
0,137.531,184.285,0.50651
0,140.134,189.48,0.359926
0,153.117,141.439,0.782278
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.107,142.734,0.750313
0,153.108,142.072,0.786636
0,138.842,184.266,0.450043
0,176.506,127.818,0.586049
0,137.517,179.742,0.547926
0,151.819,116.747,0.727339
0,153.776,142.063,0.709243
0,153.792,138.847,0.759872
0,175.2,121.933,0.634457
0,149.873,147.934,0.789191
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.781,137.56,0.82036
0,0.0,0.0,0.0
0,147.94,150.52,0.780063
0,0.0,0.0,0.0
0,152.469,142.739,0.781555
